Mapping-template-london-ward-map-2018,Ward name,Borough name,shape,Values,,,Ensure Macros are enabled then paste your data into column E,,,,,,"To use different colours to the default ones, find the RGB values of the colours you want, and enter them into the cell grid starting in U22.",,,,,,,,,UpdateAllcells,,MapNameToShape,,,,,,,,,,,,1.0,Equal Ranges (4),38.7,755.0,,,,,,,,,,,MapNameToShape,
E05000055,Hendon,Barnet,Freeform_13780,283.9,,,,,,,,,,,,,,,,,,,Broad Green,Freeform_13598,Freeform 13598,,,,,,,-2, 500.0 ,Hundred,500.000,10000.000,,,,,,,,,,E05011465,Broad Green,Croydon,Broad Green,Freeform_13598,Freeform 33
E05000056,High Barnet,Barnet,Freeform_13761,830.7,,,,,,,,,,,,,,,,,,,West Thornton,Freeform_13599,Freeform 13599,,,,,,,-1, 200.0 ,Ten,200.000,500.000,-1,,,,,,,,,E05011488,West Thornton,Croydon,West Thornton,Freeform_13599,Freeform 34
E05000057,Mill Hill,Barnet,Freeform_13771,938.9,,,,,,,,,,,,,,,,,,,Bensham Manor,Freeform_13600,Freeform 13600,,,,,,,0, 100.0 ,One,100.000,200.000,,,,,,,,,,E05011464,Bensham Manor,Croydon,Bensham Manor,Freeform_13600,Freeform 35
E05000058,Oakleigh,Barnet,Freeform_13774,331.9,,"Map Labels: If you require labels either drag the labels layer below over the map in Excel, or copy it into Word and place over the top of the map. In Word the pictures need formating so they can lay on top of each other (use Text Wrapping).",,,,,,,Legend,,,,,,,Colours (RGB),,,Norbury & Pollards Hill,Freeform_13601,Freeform 13601,,,,,,,1, 10.0 ,1 dp,10.000,100.000,,,,,,,,,,E05011472,Norbury & Pollards Hill,Croydon,Norbury & Pollards Hill,Freeform_13601,Freeform 36
E05000059,Totteridge,Barnet,Freeform_13773,877.4,,,,,,,,,Quintiles,Low (>=),(<) High,Occurrences,,,,Red,Green,Blue,Norbury Park,Freeform_13602,Freeform 13602,,,,,,,2, 1.0 ,2 dp,1.000,10.000,,,,,,,,,,E05011473,Norbury Park,Croydon,Norbury Park,Freeform_13602,Freeform 37
E05000060,Underhill,Barnet,Freeform_13760,455.1,,,,,,,,,1,,,(0),,,,223,244,255,New Addington South,Freeform_13603,Freeform 13603,,,,,,,3, -   ,3 dp,0.000,1.000,,,,,,,,,,E05011471,New Addington South,Croydon,New Addington South,Freeform_13603,Freeform 38
E05000061,West Finchley,Barnet,Freeform_13781,216.3,,,,,,,,,2,,,(0),,,,168,224,255,Fairfield,Freeform_13604,Freeform 13604,,,,,,,,,,,,-1,,,,,,,,,E05011468,Fairfield,Croydon,Fairfield,Freeform_13604,Freeform 39
E05000062,West Hendon,Barnet,Freeform_13762,342.9,,,,,,,,,3,,,(0),,,,0,174,239,Park Hill & Whitgift,Freeform_13605,Freeform 13605,,,,,,,,,,,,,,,,,,,,,E05011475,Park Hill & Whitgift,Croydon,Park Hill & Whitgift,Freeform_13605,Freeform 40
E05000063,Woodhouse,Barnet,Freeform_13775,262.1,,,,,,,,,4,,,(0),,,,0,112,153,Addiscombe West,Freeform_13606,Freeform 13606,,,,,,,,,,,,,,,,,,,,,E05011463,Addiscombe West,Croydon,Addiscombe West,Freeform_13606,Freeform 41
E05011220,Blackfen & Lamorbey,Bexley,Freeform_13862,287.7,,,,,,,,,5,,,,,,,0,66,110,Addiscombe East,Freeform_13607,Freeform 13607,,,,,Quintile,Low,High,Occurrences,,,,,,,,,,,,,E05011462,Addiscombe East,Croydon,Addiscombe East,Freeform_13607,Freeform 42
E05011222,Crayford,Bexley,Freeform_13870,317.5,,,,,,,,,,,,,,,,255,255,255,New Addington North,Freeform_13608,Freeform 13608,,,,1,1,#,#,0,(0),,,,,,,,,,,,E05011470,New Addington North,Croydon,New Addington North,Freeform_13608,Freeform 43
E05011223,Crook Log,Bexley,Freeform_13867,168.6,,,,,,,,,,,,,,,,,,,Selhurst,Freeform_13609,Freeform 13609,,,,2,2,#,#,0,(0),,,,,,,,,,,,E05011479,Selhurst,Croydon,Selhurst,Freeform_13609,Freeform 44
E05011226,Falconwood & Welling,Bexley,Freeform_13865,209.8,,,,,,,,,,,,,,,,,,,Woodside,Freeform_13610,Freeform 13610,,,,3,3,#,#,0,(0),,,,,,,,,,,,E05011489,Woodside,Croydon,Woodside,Freeform_13610,Freeform 45
E05011218,Belvedere,Bexley,Freeform_13872,196.7,,,,,,,,,"Note: Even if you set your own colours in the manual over-ride, the RGB values must still be entered in cells T22:V27 to work on the map.",,,,,,,,,,Thornton Heath,Freeform_13611,Freeform 13611,,,,4,4,#,#,0,(0),,,,,,,,,,,,E05011486,Thornton Heath,Croydon,Thornton Heath,Freeform_13611,Freeform 46
E05011224,East Wickham,Bexley,Freeform_13866,255.2,,,,,,,,,,,,,,,,,,,Crystal Palace & Upper Norwood,Freeform_13612,Freeform 13612,,,,,5,#,#,0,,,,,,,,,,,,,E05011467,Crystal Palace & Upper Norwood,Croydon,Crystal Palace & Upper Norwood,Freeform_13612,Freeform 47
E05011221,Blendon & Penhill,Bexley,Freeform_13874,164.4,,,,,,,,,,,,,,,,,,,Darwin,Freeform_13613,Freeform 13613,,,,No data,,,,0,(0),,,,,,,,,,,,E05000117,Darwin,Bromley,Darwin,Freeform_13613,Freeform 48
E05011230,Sidcup,Bexley,Freeform_13863,397.2,,,,,,,,,,,,,,,,,,,Hayes and Coney Hall,Freeform_13614,Freeform 13614,,,,,,,,0,(0),,,,,,,,,,,,E05000119,Hayes and Coney Hall,Bromley,Hayes and Coney Hall,Freeform_13614,Freeform 49
E05011225,Erith,Bexley,Freeform_13877,719.0,,,,,,,,,,,,,,,,,,,Bromley Common and Keston,Freeform_13615,Freeform 13615,,,,,,,,,,,,,,,,,,,,,E05000108,Bromley Common and Keston,Bromley,Bromley Common and Keston,Freeform_13615,Freeform 50
E05011232,Thamesmead East,Bexley,Freeform_13873,271.3,,,,,,,,,,,,,,,,,,,Chelsfield and Pratts Bottom,Freeform_13616,Freeform 13616,,,,,,,,,,,,,,,,,,,,,E05000110,Chelsfield and Pratts Bottom,Bromley,Chelsfield and Pratts Bottom,Freeform_13616,Freeform 51
E05011217,Barnehurst,Bexley,Freeform_13876,217.3,,,,,,,,,,,,,,,,,,,Biggin Hill,Freeform_13617,Freeform 13617,,,,,,,,,,,,,,,,,,,,,E05000107,Biggin Hill,Bromley,Biggin Hill,Freeform_13617,Freeform 52
E05011228,Northumberland Heath,Bexley,Freeform_13869,475.3,,,,,,,,,,,,,,,,,,,West Wickham,Freeform_13618,Freeform 13618,,,,,,,,,,,,,,,,,,,,,E05000127,West Wickham,Bromley,West Wickham,Freeform_13618,Freeform 53
E05011231,Slade Green & Northend,Bexley,Freeform_13871,167.0,,,,,,,,,,,,,,,,,,,Clock House,Freeform_13619,Freeform 13619,,,,,,,,,,,,,,,,,,,,,E05000112,Clock House,Bromley,Clock House,Freeform_13619,Freeform 54
E05011233,West Heath,Bexley,Freeform_13875,237.0,,,,,,,,,,,,,,,,,,,Kelsey and Eden Park,Freeform_13620,Freeform 13620,,,,,,,,,,,,,,,,,,,,,E05000120,Kelsey and Eden Park,Bromley,Kelsey and Eden Park,Freeform_13620,Freeform 55
E05011227,Longlands,Bexley,Freeform_13861,259.7,,,,,,,,,,,,,,,,,,,Farnborough and Crofton,Freeform_13621,Freeform 13621,,,,,,,,,,,,,,,,,,,,,E05000118,Farnborough and Crofton,Bromley,Farnborough and Crofton,Freeform_13621,Freeform 56
E05011229,St. Mary's & St. James,Bexley,Freeform_13864,568.0,,,,,,,,,,,,,,,,,,,Shortlands,Freeform_13622,Freeform 13622,,,,,,,,,,,,,,,,,,,,,E05000126,Shortlands,Bromley,Shortlands,Freeform_13622,Freeform 57
E05011219,Bexleyheath,Bexley,Freeform_13868,175.3,,,,,,,,,,,,,,,,,,,Bromley Town,Freeform_13623,Freeform 13623,,,,,,,,,,,,,,,,,,,,,E05000109,Bromley Town,Bromley,Bromley Town,Freeform_13623,Freeform 58
E05000085,Alperton,Brent,Freeform_13747,442.9,,,,,,,,,,,,,,,,,,,Bickley,Freeform_13624,Freeform 13624,,,,,,,,,,,,,,,,,,,,,E05000106,Bickley,Bromley,Bickley,Freeform_13624,Freeform 59
E05000086,Barnhill,Brent,Freeform_13744,144.8,,,,,,,,,,,,,,,,,,,Petts Wood and Knoll,Freeform_13625,Freeform 13625,,,,,,,,,,,,,,,,,,,,,E05000124,Petts Wood and Knoll,Bromley,Petts Wood and Knoll,Freeform_13625,Freeform 60
