Mapping-template-london-ward-map-2018,Ward name,Borough name,shape,Values,,,Ensure Macros are enabled then paste your data into column E,,,,,,"To use different colours to the default ones, find the RGB values of the colours you want, and enter them into the cell grid starting in U22.",,,,,,,,,UpdateAllcells,,MapNameToShape,,,,,,,,,,,,1.0,Equal Ranges (4),38.7,755.0,,,,,,,,,,,MapNameToShape,
E05000219,Eltham South,Greenwich,Freeform_13846,462.6,,,,,,,,,,,,,,,,,,,Golders Green,Freeform_13763,Freeform 13763,,,,,,,,,,,,,,,,,,,,,E05000053,Golders Green,Barnet,Golders Green,Freeform_13763,Freeform 198
E05000220,Eltham West,Greenwich,Freeform_13851,242.6,,,,,,,,,,,,,,,,,,,Colindale,Freeform_13764,Freeform 13764,,,,,,,,,,,,,,,,,,,,,E05000046,Colindale,Barnet,Colindale,Freeform_13764,Freeform 199
E05000221,Glyndon,Greenwich,Freeform_13858,170.2,,,,,,,,,,,,,,,,,,,Childs Hill,Freeform_13765,Freeform 13765,,,,,,,,,,,,,,,,,,,,,E05000045,Childs Hill,Barnet,Childs Hill,Freeform_13765,Freeform 200
E05000222,Greenwich West,Greenwich,Freeform_13850,279.2,,,,,,,,,,,,,,,,,,,Garden Suburb,Freeform_13766,Freeform 13766,,,,,,,,,,,,,,,,,,,,,E05000052,Garden Suburb,Barnet,Garden Suburb,Freeform_13766,Freeform 201
E05000223,Kidbrooke With Hornfair,Greenwich,Freeform_13853,237.5,,,,,,,,,,,,,,,,,,,Finchley Church End,Freeform_13767,Freeform 13767,,,,,,,,,,,,,,,,,,,,,E05000051,Finchley Church End,Barnet,Finchley Church End,Freeform_13767,Freeform 202
E05000224,Middle Park And Sutcliffe,Greenwich,Freeform_13844,329.1,,,,,,,,,,,,,,,,,,,East Finchley,Freeform_13768,Freeform 13768,,,,,,,,,,,,,,,,,,,,,E05000049,East Finchley,Barnet,East Finchley,Freeform_13768,Freeform 203
E05000225,Peninsula,Greenwich,Freeform_13848,449.2,,,,,,,,,,,,,,,,,,,Edgware,Freeform_13770,Freeform 13770,,,,,,,,,,,,,,,,,,,,,E05000050,Edgware,Barnet,Edgware,Freeform_13770,Freeform 205
E05000226,Plumstead,Greenwich,Freeform_13857,234.2,,,,,,,,,,,,,,,,,,,Mill Hill,Freeform_13771,Freeform 13771,,,,,,,,,,,,,,,,,,,,,E05000057,Mill Hill,Barnet,Mill Hill,Freeform_13771,Freeform 206
E05000227,Shooters Hill,Greenwich,Freeform_13847,377.1,,,,,,,,,,,,,,,,,,,Hale,Freeform_13772,Freeform 13772,,,,,,,,,,,,,,,,,,,,,E05000054,Hale,Barnet,Hale,Freeform_13772,Freeform 207
E05000228,Thamesmead Moorings,Greenwich,Freeform_13859,481.3,,,,,,,,,,,,,,,,,,,Totteridge,Freeform_13773,Freeform 13773,,,,,,,,,,,,,,,,,,,,,E05000059,Totteridge,Barnet,Totteridge,Freeform_13773,Freeform 208
E05000229,Woolwich Common,Greenwich,Freeform_13856,262.0,,,,,,,,,,,,,,,,,,,Oakleigh,Freeform_13774,Freeform 13774,,,,,,,,,,,,,,,,,,,,,E05000058,Oakleigh,Barnet,Oakleigh,Freeform_13774,Freeform 209
E05000230,Woolwich Riverside,Greenwich,Freeform_13849,326.1,,,,,,,,,,,,,,,,,,,Woodhouse,Freeform_13775,Freeform 13775,,,,,,,,,,,,,,,,,,,,,E05000063,Woodhouse,Barnet,Woodhouse,Freeform_13775,Freeform 210
E05009367,Brownswood,Hackney,Freeform_14137,48.2,,,,,,,,,,,,,,,,,,,Coppetts,Freeform_13776,Freeform 13776,,,,,,,,,,,,,,,,,,,,,E05000047,Coppetts,Barnet,Coppetts,Freeform_13776,Freeform 211
E05009368,Cazenove,Hackney,Freeform_14134,74.2,,,,,,,,,,,,,,,,,,,Brunswick Park,Freeform_13777,Freeform 13777,,,,,,,,,,,,,,,,,,,,,E05000043,Brunswick Park,Barnet,Brunswick Park,Freeform_13777,Freeform 212
E05009369,Clissold,Hackney,Freeform_14131,101.1,,,,,,,,,,,,,,,,,,,East Barnet,Freeform_13778,Freeform 13778,,,,,,,,,,,,,,,,,,,,,E05000048,East Barnet,Barnet,East Barnet,Freeform_13778,Freeform 213
E05009370,Dalston,Hackney,Freeform_14139,53.5,,,,,,,,,,,,,,,,,,,Burnt Oak,Freeform_13779,Freeform 13779,,,,,,,,,,,,,,,,,,,,,E05000044,Burnt Oak,Barnet,Burnt Oak,Freeform_13779,Freeform 214
E05009371,De Beauvoir,Hackney,Freeform_14128,59.3,,,,,,,,,,,,,,,,,,,Hendon,Freeform_13780,Freeform 13780,,,,,,,,,,,,,,,,,,,,,E05000055,Hendon,Barnet,Hendon,Freeform_13780,Freeform 215
E05009372,Hackney Central,Hackney,Freeform_14141,77.8,,,,,,,,,,,,,,,,,,,West Finchley,Freeform_13781,Freeform 13781,,,,,,,,,,,,,,,,,,,,,E05000061,West Finchley,Barnet,West Finchley,Freeform_13781,Freeform 216
E05009373,Hackney Downs,Hackney,Freeform_14132,101.8,,,,,,,,,,,,,,,,,,,Streatham South,Freeform_13782,Freeform 13782,,,,,,,,,,,,,,,,,,,,,E05000431,Streatham South,Lambeth,Streatham South,Freeform_13782,Freeform 217
E05009374,Hackney Wick,Hackney,Freeform_14130,163.4,,,,,,,,,,,,,,,,,,,St. Leonard's,Freeform_13783,Freeform 13783,,,,,,,,,,,,,,,,,,,,,E05000428,St. Leonard's,Lambeth,St. Leonard's,Freeform_13783,Freeform 218
E05009375,Haggerston,Hackney,Freeform_14127,86.7,,,,,,,,,,,,,,,,,,,Streatham Wells,Freeform_13784,Freeform 13784,,,,,,,,,,,,,,,,,,,,,E05000432,Streatham Wells,Lambeth,Streatham Wells,Freeform_13784,Freeform 219
E05009376,Homerton,Hackney,Freeform_14142,80.5,,,,,,,,,,,,,,,,,,,Knight's Hill,Freeform_13785,Freeform 13785,,,,,,,,,,,,,,,,,,,,,E05000424,Knight's Hill,Lambeth,Knight's Hill,Freeform_13785,Freeform 220
E05009377,Hoxton East & Shoreditch,Hackney,Freeform_14126,102.4,,,,,,,,,,,,,,,,,,,Thornton,Freeform_13786,Freeform 13786,,,,,,,,,,,,,,,,,,,,,E05000433,Thornton,Lambeth,Thornton,Freeform_13786,Freeform 221
E05009378,Hoxton West,Hackney,Freeform_14138,64.8,,,,,,,,,,,,,,,,,,,Streatham Hill,Freeform_13787,Freeform 13787,,,,,,,,,,,,,,,,,,,,,E05000430,Streatham Hill,Lambeth,Streatham Hill,Freeform_13787,Freeform 222
E05009379,King's Park,Hackney,Freeform_14136,191.6,,,,,,,,,,,,,,,,,,,Clapham Common,Freeform_13788,Freeform 13788,,,,,,,,,,,,,,,,,,,,,E05000418,Clapham Common,Lambeth,Clapham Common,Freeform_13788,Freeform 223
E05009380,Lea Bridge,Hackney,Freeform_14133,106.0,,,,,,,,,,,,,,,,,,,Brixton Hill,Freeform_13789,Freeform 13789,,,,,,,,,,,,,,,,,,,,,E05000417,Brixton Hill,Lambeth,Brixton Hill,Freeform_13789,Freeform 224
E05009381,London Fields,Hackney,Freeform_14129,101.7,,,,,,,,,,,,,,,,,,,Tulse Hill,Freeform_13790,Freeform 13790,,,,,,,,,,,,,,,,,,,,,E05000435,Tulse Hill,Lambeth,Tulse Hill,Freeform_13790,Freeform 225
E05009382,Shacklewell,Hackney,Freeform_14143,43.2,,,,,,,,,,,,,,,,,,,Coldharbour,Freeform_13791,Freeform 13791,,,,,,,,,,,,,,,,,,,,,E05000420,Coldharbour,Lambeth,Coldharbour,Freeform_13791,Freeform 226
E05009383,Springfield,Hackney,Freeform_14135,121.3,,,,,,,,,,,,,,,,,,,Ferndale,Freeform_13792,Freeform 13792,,,,,,,,,,,,,,,,,,,,,E05000421,Ferndale,Lambeth,Ferndale,Freeform_13792,Freeform 227
E05009384,Stamford Hill West,Hackney,Freeform_14146,67.0,,,,,,,,,,,,,,,,,,,Larkhall,Freeform_13793,Freeform 13793,,,,,,,,,,,,,,,,,,,,,E05000425,Larkhall,Lambeth,Larkhall,Freeform_13793,Freeform 228
E05009385,Stoke Newington,Hackney,Freeform_14144,96.2,,,,,,,,,,,,,,,,,,,Oval,Freeform_13794,Freeform 13794,,,,,,,,,,,,,,,,,,,,,E05000426,Oval,Lambeth,Oval,Freeform_13794,Freeform 229
E05009386,Victoria,Hackney,Freeform_14140,76.1,,,,,,,,,,,,,,,,,,,Vassall,Freeform_13795,Freeform 13795,,,,,,,,,,,,,,,,,,,,,E05000436,Vassall,Lambeth,Vassall,Freeform_13795,Freeform 230
E05009387,Woodberry Down,Hackney,Freeform_14145,88.1,,,,,,,,,,,,,,,,,,,Gipsy Hill,Freeform_13796,Freeform 13796,,,,,,,,,,,,,,,,,,,,,E05000422,Gipsy Hill,Lambeth,Gipsy Hill,Freeform_13796,Freeform 231
E05000250,Addison,Hammersmith and Fulham,Freeform_14033,55.5,,,,,,,,,,,,,,,,,,,Thurlow Park,Freeform_13797,Freeform 13797,,,,,,,,,,,,,,,,,,,,,E05000434,Thurlow Park,Lambeth,Thurlow Park,Freeform_13797,Freeform 232
E05000251,Askew,Hammersmith and Fulham,Freeform_14026,76.3,,,,,,,,,,,,,,,,,,,Herne Hill,Freeform_13798,Freeform 13798,,,,,,,,,,,,,,,,,,,,,E05000423,Herne Hill,Lambeth,Herne Hill,Freeform_13798,Freeform 233
E05000252,Avonmore And Brook Green,Hammersmith and Fulham,Freeform_14025,89.7,,,,,,,,,,,,,,,,,,,Bishop's,Freeform_13799,Freeform 13799,,,,,,,,,,,,,,,,,,,,,E05000416,Bishop's,Lambeth,Bishop's,Freeform_13799,Freeform 234
E05000253,College Park And Old Oak,Hammersmith and Fulham,Freeform_14029,343.7,,,,,,,,,,,,,,,,,,,Clapham Town,Freeform_13800,Freeform 13800,,,,,,,,,,,,,,,,,,,,,E05000419,Clapham Town,Lambeth,Clapham Town,Freeform_13800,Freeform 235
E05000254,Fulham Broadway,Hammersmith and Fulham,Freeform_14022,66.8,,,,,,,,,,,,,,,,,,,Stockwell,Freeform_13801,Freeform 13801,,,,,,,,,,,,,,,,,,,,,E05000429,Stockwell,Lambeth,Stockwell,Freeform_13801,Freeform 236
E05000255,Fulham Reach,Hammersmith and Fulham,Freeform_14031,88.2,,,,,,,,,,,,,,,,,,,Prince's,Freeform_13802,Freeform 13802,,,,,,,,,,,,,,,,,,,,,E05000427,Prince's,Lambeth,Prince's,Freeform_13802,Freeform 237
E05000256,Hammersmith Broadway,Hammersmith and Fulham,Freeform_14024,110.3,,,,,,,,,,,,,,,,,,,Dulwich Wood,Freeform_13803,Freeform 13803,,,,,,,,,,,,,,,,,,,,,E05011101,Dulwich Wood,Southwark,Dulwich Wood,Freeform_13803,Freeform 238
E05000257,Munster,Hammersmith and Fulham,Freeform_14019,62.4,,,,,,,,,,,,,,,,,,,Rotherhithe,Freeform_13804,Freeform 13804,,,,,,,,,,,,,,,,,,,,,E05011112,Rotherhithe,Southwark,Rotherhithe,Freeform_13804,Freeform 239
E05000258,North End,Hammersmith and Fulham,Freeform_14032,63.5,,,,,,,,,,,,,,,,,,,Dulwich Village,Freeform_13805,Freeform 13805,,,,,,,,,,,,,,,,,,,,,E05011100,Dulwich Village,Southwark,Dulwich Village,Freeform_13805,Freeform 240
E05000259,Palace Riverside,Hammersmith and Fulham,Freeform_14018,148.1,,,,,,,,,,,,,,,,,,,Champion Hill,Freeform_13806,Freeform 13806,,,,,,,,,,,,,,,,,,,,,E05011097,Champion Hill,Southwark,Champion Hill,Freeform_13806,Freeform 241
E05000260,Parsons Green And Walham,Hammersmith and Fulham,Freeform_14021,89.6,,,,,,,,,,,,,,,,,,,Dulwich Hill,Freeform_13807,Freeform 13807,,,,,,,,,,,,,,,,,,,,,E05011099,Dulwich Hill,Southwark,Dulwich Hill,Freeform_13807,Freeform 242
E05000261,Ravenscourt Park,Hammersmith and Fulham,Freeform_14023,121.5,,,,,,,,,,,,,,,,,,,Peckham Rye,Freeform_13808,Freeform 13808,,,,,,,,,,,,,,,,,,,,,E05011111,Peckham Rye,Southwark,Peckham Rye,Freeform_13808,Freeform 243
E05000262,Sands End,Hammersmith and Fulham,Freeform_14020,137.8,,,,,,,,,,,,,,,,,,,Camberwell Green,Freeform_13809,Freeform 13809,,,,,,,,,,,,,,,,,,,,,E05011096,Camberwell Green,Southwark,Camberwell Green,Freeform_13809,Freeform 244
E05000263,Shepherd's Bush Green,Hammersmith and Fulham,Freeform_14028,106.8,,,,,,,,,,,,,,,,,,,St. Giles,Freeform_13810,Freeform 13810,,,,,,,,,,,,,,,,,,,,,E05011115,St. Giles,Southwark,St. Giles,Freeform_13810,Freeform 245
E05000264,Town,Hammersmith and Fulham,Freeform_14030,65.1,,,,,,,,,,,,,,,,,,,Rye Lane,Freeform_13811,Freeform 13811,,,,,,,,,,,,,,,,,,,,,E05011113,Rye Lane,Southwark,Rye Lane,Freeform_13811,Freeform 246
E05000265,Wormholt And White City,Hammersmith and Fulham,Freeform_14027,90.2,,,,,,,,,,,,,,,,,,,Nunhead & Queen's Road,Freeform_13812,Freeform 13812,,,,,,,,,,,,,,,,,,,,,E05011108,Nunhead & Queen's Road,Southwark,Nunhead & Queen's Road,Freeform_13812,Freeform 247
E05000266,Alexandra,Haringey,Freeform_14155,261.4,,,,,,,,,,,,,,,,,,,Peckham,Freeform_13813,Freeform 13813,,,,,,,,,,,,,,,,,,,,,E05011110,Peckham,Southwark,Peckham,Freeform_13813,Freeform 248
E05000267,Bounds Green,Haringey,Freeform_14150,138.6,,,,,,,,,,,,,,,,,,,Newington,Freeform_13814,Freeform 13814,,,,,,,,,,,,,,,,,,,,,E05011105,Newington,Southwark,Newington,Freeform_13814,Freeform 249
E05000268,Bruce Grove,Haringey,Freeform_14164,93.7,,,,,,,,,,,,,,,,,,,Faraday,Freeform_13815,Freeform 13815,,,,,,,,,,,,,,,,,,,,,E05011102,Faraday,Southwark,Faraday,Freeform_13815,Freeform 250
E05000269,Crouch End,Haringey,Freeform_14151,144.0,,,,,,,,,,,,,,,,,,,Old Kent Road,Freeform_13816,Freeform 13816,,,,,,,,,,,,,,,,,,,,,E05011109,Old Kent Road,Southwark,Old Kent Road,Freeform_13816,Freeform 251
E05000270,Fortis Green,Haringey,Freeform_14149,199.1,,,,,,,,,,,,,,,,,,,South Bermondsey,Freeform_13817,Freeform 13817,,,,,,,,,,,,,,,,,,,,,E05011116,South Bermondsey,Southwark,South Bermondsey,Freeform_13817,Freeform 252
E05000271,Harringay,Haringey,Freeform_14148,156.6,,,,,,,,,,,,,,,,,,,Borough & Bankside,Freeform_13818,Freeform 13818,,,,,,,,,,,,,,,,,,,,,E05011095,Borough & Bankside,Southwark,Borough & Bankside,Freeform_13818,Freeform 253
E05000272,Highgate,Haringey,Freeform_14147,249.5,,,,,,,,,,,,,,,,,,,London Bridge & West Bermondsey,Freeform_13819,Freeform 13819,,,,,,,,,,,,,,,,,,,,,E05011104,London Bridge & West Bermondsey,Southwark,London Bridge & West Bermondsey,Freeform_13819,Freeform 254
E05000273,Hornsey,Haringey,Freeform_14154,105.4,,,,,,,,,,,,,,,,,,,North Bermondsey,Freeform_13820,Freeform 13820,,,,,,,,,,,,,,,,,,,,,E05011106,North Bermondsey,Southwark,North Bermondsey,Freeform_13820,Freeform 255
E05000274,Muswell Hill,Haringey,Freeform_14153,165.3,,,,,,,,,,,,,,,,,,,Surrey Docks,Freeform_13821,Freeform 13821,,,,,,,,,,,,,,,,,,,,,E05011117,Surrey Docks,Southwark,Surrey Docks,Freeform_13821,Freeform 256
E05000275,Noel Park,Haringey,Freeform_14156,122.6,,,,,,,,,,,,,,,,,,,Goose Green,Freeform_13822,Freeform 13822,,,,,,,,,,,,,,,,,,,,,E05011103,Goose Green,Southwark,Goose Green,Freeform_13822,Freeform 257
E05000276,Northumberland Park,Haringey,Freeform_14165,188.8,,,,,,,,,,,,,,,,,,,St. George's,Freeform_13823,Freeform 13823,,,,,,,,,,,,,,,,,,,,,E05011114,St. George's,Southwark,St. George's,Freeform_13823,Freeform 258
E05000277,St. Ann's,Haringey,Freeform_14158,109.4,,,,,,,,,,,,,,,,,,,North Walworth,Freeform_13824,Freeform 13824,,,,,,,,,,,,,,,,,,,,,E05011107,North Walworth,Southwark,North Walworth,Freeform_13824,Freeform 259
E05000278,Seven Sisters,Haringey,Freeform_14159,129.5,,,,,,,,,,,,,,,,,,,Chaucer,Freeform_13825,Freeform 13825,,,,,,,,,,,,,,,,,,,,,E05011098,Chaucer,Southwark,Chaucer,Freeform_13825,Freeform 260
E05000279,Stroud Green,Haringey,Freeform_14152,109.4,,,,,,,,,,,,,,,,,,,Bellingham,Freeform_13826,Freeform 13826,,,,,,,,,,,,,,,,,,,,,E05000437,Bellingham,Lewisham,Bellingham,Freeform_13826,Freeform 261
E05000280,Tottenham Green,Haringey,Freeform_14160,136.0,,,,,,,,,,,,,,,,,,,Telegraph Hill,Freeform_13827,Freeform 13827,,,,,,,,,,,,,,,,,,,,,E05000453,Telegraph Hill,Lewisham,Telegraph Hill,Freeform_13827,Freeform 262
E05000281,Tottenham Hale,Haringey,Freeform_14162,191.2,,,,,,,,,,,,,,,,,,,Downham,Freeform_13828,Freeform 13828,,,,,,,,,,,,,,,,,,,,,E05000442,Downham,Lewisham,Downham,Freeform_13828,Freeform 263
E05000282,West Green,Haringey,Freeform_14161,139.9,,,,,,,,,,,,,,,,,,,Whitefoot,Freeform_13829,Freeform 13829,,,,,,,,,,,,,,,,,,,,,E05000454,Whitefoot,Lewisham,Whitefoot,Freeform_13829,Freeform 264
E05000283,White Hart Lane,Haringey,Freeform_14163,169.9,,,,,,,,,,,,,,,,,,,Blackheath,Freeform_13830,Freeform 13830,,,,,,,,,,,,,,,,,,,,,E05000438,Blackheath,Lewisham,Blackheath,Freeform_13830,Freeform 265
E05000284,Woodside,Haringey,Freeform_14157,149.7,,,,,,,,,,,,,,,,,,,Sydenham,Freeform_13831,Freeform 13831,,,,,,,,,,,,,,,,,,,,,E05000452,Sydenham,Lewisham,Sydenham,Freeform_13831,Freeform 266
E05000285,Belmont,Harrow,Freeform_13735,177.7,,,,,,,,,,,,,,,,,,,Forest Hill,Freeform_13832,Freeform 13832,,,,,,,,,,,,,,,,,,,,,E05000444,Forest Hill,Lewisham,Forest Hill,Freeform_13832,Freeform 267
E05000286,Canons,Harrow,Freeform_13727,562.6,,,,,,,,,,,,,,,,,,,Perry Vale,Freeform_13833,Freeform 13833,,,,,,,,,,,,,,,,,,,,,E05000450,Perry Vale,Lewisham,Perry Vale,Freeform_13833,Freeform 268
E05000287,Edgware,Harrow,Freeform_13738,140.3,,,,,,,,,,,,,,,,,,,Rushey Green,Freeform_13834,Freeform 13834,,,,,,,,,,,,,,,,,,,,,E05000451,Rushey Green,Lewisham,Rushey Green,Freeform_13834,Freeform 269
E05000288,Greenhill,Harrow,Freeform_13722,174.5,,,,,,,,,,,,,,,,,,,Catford South,Freeform_13835,Freeform 13835,,,,,,,,,,,,,,,,,,,,,E05000440,Catford South,Lewisham,Catford South,Freeform_13835,Freeform 270
E05000289,Harrow On The Hill,Harrow,Freeform_13719,357.2,,,,,,,,,,,,,,,,,,,Crofton Park,Freeform_13836,Freeform 13836,,,,,,,,,,,,,,,,,,,,,E05000441,Crofton Park,Lewisham,Crofton Park,Freeform_13836,Freeform 271
E05000290,Harrow Weald,Harrow,Freeform_13725,459.0,,,,,,,,,,,,,,,,,,,Ladywell,Freeform_13837,Freeform 13837,,,,,,,,,,,,,,,,,,,,,E05000446,Ladywell,Lewisham,Ladywell,Freeform_13837,Freeform 272
E05000291,Hatch End,Harrow,Freeform_13731,327.9,,,,,,,,,,,,,,,,,,,Lewisham Central,Freeform_13838,Freeform 13838,,,,,,,,,,,,,,,,,,,,,E05000448,Lewisham Central,Lewisham,Lewisham Central,Freeform_13838,Freeform 273
E05000292,Headstone North,Harrow,Freeform_13723,329.6,,,,,,,,,,,,,,,,,,,Brockley,Freeform_13839,Freeform 13839,,,,,,,,,,,,,,,,,,,,,E05000439,Brockley,Lewisham,Brockley,Freeform_13839,Freeform 274
E05000293,Headstone South,Harrow,Freeform_13732,146.8,,,,,,,,,,,,,,,,,,,New Cross,Freeform_13840,Freeform 13840,,,,,,,,,,,,,,,,,,,,,E05000449,New Cross,Lewisham,New Cross,Freeform_13840,Freeform 275
E05000294,Kenton East,Harrow,Freeform_13736,127.9,,,,,,,,,,,,,,,,,,,Grove Park,Freeform_13841,Freeform 13841,,,,,,,,,,,,,,,,,,,,,E05000445,Grove Park,Lewisham,Grove Park,Freeform_13841,Freeform 276
E05000295,Kenton West,Harrow,Freeform_13733,176.5,,,,,,,,,,,,,,,,,,,Lee Green,Freeform_13842,Freeform 13842,,,,,,,,,,,,,,,,,,,,,E05000447,Lee Green,Lewisham,Lee Green,Freeform_13842,Freeform 277
E05000296,Marlborough,Harrow,Freeform_13724,164.7,,,,,,,,,,,,,,,,,,,Evelyn,Freeform_13843,Freeform 13843,,,,,,,,,,,,,,,,,,,,,E05000443,Evelyn,Lewisham,Evelyn,Freeform_13843,Freeform 278
E05000297,Pinner,Harrow,Freeform_13720,327.7,,,,,,,,,,,,,,,,,,,Middle Park and Sutcliffe,Freeform_13844,Freeform 13844,,,,,,,,,,,,,,,,,,,,,E05000224,Middle Park and Sutcliffe,Greenwich,Middle Park and Sutcliffe,Freeform_13844,Freeform 279
E05000298,Pinner South,Harrow,Freeform_13721,234.6,,,,,,,,,,,,,,,,,,,Coldharbour and New Eltham,Freeform_13845,Freeform 13845,,,,,,,,,,,,,,,,,,,,,E05000217,Coldharbour and New Eltham,Greenwich,Coldharbour and New Eltham,Freeform_13845,Freeform 280
E05000299,Queensbury,Harrow,Freeform_13737,161.4,,,,,,,,,,,,,,,,,,,Eltham South,Freeform_13846,Freeform 13846,,,,,,,,,,,,,,,,,,,,,E05000219,Eltham South,Greenwich,Eltham South,Freeform_13846,Freeform 281
E05000300,Rayners Lane,Harrow,Freeform_13728,153.0,,,,,,,,,,,,,,,,,,,Shooters Hill,Freeform_13847,Freeform 13847,,,,,,,,,,,,,,,,,,,,,E05000227,Shooters Hill,Greenwich,Shooters Hill,Freeform_13847,Freeform 282
E05000301,Roxbourne,Harrow,Freeform_13729,150.6,,,,,,,,,,,,,,,,,,,Peninsula,Freeform_13848,Freeform 13848,,,,,,,,,,,,,,,,,,,,,E05000225,Peninsula,Greenwich,Peninsula,Freeform_13848,Freeform 283
E05000302,Roxeth,Harrow,Freeform_13718,157.5,,,,,,,,,,,,,,,,,,,Woolwich Riverside,Freeform_13849,Freeform 13849,,,,,,,,,,,,,,,,,,,,,E05000230,Woolwich Riverside,Greenwich,Woolwich Riverside,Freeform_13849,Freeform 284
E05000303,Stanmore Park,Harrow,Freeform_13726,445.9,,,,,,,,,,,,,,,,,,,Greenwich West,Freeform_13850,Freeform 13850,,,,,,,,,,,,,,,,,,,,,E05000222,Greenwich West,Greenwich,Greenwich West,Freeform_13850,Freeform 285
E05000304,Wealdstone,Harrow,Freeform_13734,119.6,,,,,,,,,,,,,,,,,,,Eltham West,Freeform_13851,Freeform 13851,,,,,,,,,,,,,,,,,,,,,E05000220,Eltham West,Greenwich,Eltham West,Freeform_13851,Freeform 286
E05000305,West Harrow,Harrow,Freeform_13730,151.5,,,,,,,,,,,,,,,,,,,Blackheath Westcombe,Freeform_13852,Freeform 13852,,,,,,,,,,,,,,,,,,,,,E05000215,Blackheath Westcombe,Greenwich,Blackheath Westcombe,Freeform_13852,Freeform 287
E05000306,Brooklands,Havering,Freeform_13682,420.3,,,,,,,,,,,,,,,,,,,Kidbrooke with Hornfair,Freeform_13853,Freeform 13853,,,,,,,,,,,,,,,,,,,,,E05000223,Kidbrooke with Hornfair,Greenwich,Kidbrooke with Hornfair,Freeform_13853,Freeform 288
E05000307,Cranham,Havering,Freeform_13691,655.5,,,,,,,,,,,,,,,,,,,Eltham North,Freeform_13854,Freeform 13854,,,,,,,,,,,,,,,,,,,,,E05000218,Eltham North,Greenwich,Eltham North,Freeform_13854,Freeform 289
E05000308,Elm Park,Havering,Freeform_13681,366.5,,,,,,,,,,,,,,,,,,,Charlton,Freeform_13855,Freeform 13855,,,,,,,,,,,,,,,,,,,,,E05000216,Charlton,Greenwich,Charlton,Freeform_13855,Freeform 290
E05000309,Emerson Park,Havering,Freeform_13688,464.2,,,,,,,,,,,,,,,,,,,Woolwich Common,Freeform_13856,Freeform 13856,,,,,,,,,,,,,,,,,,,,,E05000229,Woolwich Common,Greenwich,Woolwich Common,Freeform_13856,Freeform 291
E05000310,Gooshays,Havering,Freeform_13694,775.9,,,,,,,,,,,,,,,,,,,Plumstead,Freeform_13857,Freeform 13857,,,,,,,,,,,,,,,,,,,,,E05000226,Plumstead,Greenwich,Plumstead,Freeform_13857,Freeform 292
E05000311,Hacton,Havering,Freeform_13686,246.5,,,,,,,,,,,,,,,,,,,Glyndon,Freeform_13858,Freeform 13858,,,,,,,,,,,,,,,,,,,,,E05000221,Glyndon,Greenwich,Glyndon,Freeform_13858,Freeform 293
E05000312,Harold Wood,Havering,Freeform_13690,759.0,,,,,,,,,,,,,,,,,,,Thamesmead Moorings,Freeform_13859,Freeform 13859,,,,,,,,,,,,,,,,,,,,,E05000228,Thamesmead Moorings,Greenwich,Thamesmead Moorings,Freeform_13859,Freeform 294
E05000313,Havering Park,Havering,Freeform_13692,978.3,,,,,,,,,,,,,,,,,,,Abbey Wood,Freeform_13860,Freeform 13860,,,,,,,,,,,,,,,,,,,,,E05000214,Abbey Wood,Greenwich,Abbey Wood,Freeform_13860,Freeform 295
E05000314,Heaton,Havering,Freeform_13693,341.6,,,,,,,,,,,,,,,,,,,Longlands,Freeform_13861,Freeform 13861,,,,,,,,,,,,,,,,,,,,,E05011227,Longlands,Bexley,Longlands,Freeform_13861,Freeform 296
E05000315,Hylands,Havering,Freeform_13695,289.8,,,,,,,,,,,,,,,,,,,Blackfen & Lamorbey,Freeform_13862,Freeform 13862,,,,,,,,,,,,,,,,,,,,,E05011220,Blackfen & Lamorbey,Bexley,Blackfen & Lamorbey,Freeform_13862,Freeform 297
E05000316,Mawneys,Havering,Freeform_13684,304.3,,,,,,,,,,,,,,,,,,,Sidcup,Freeform_13863,Freeform 13863,,,,,,,,,,,,,,,,,,,,,E05011230,Sidcup,Bexley,Sidcup,Freeform_13863,Freeform 298
E05000317,Pettits,Havering,Freeform_13685,395.5,,,,,,,,,,,,,,,,,,,St. Mary's & St. James,Freeform_13864,Freeform 13864,,,,,,,,,,,,,,,,,,,,,E05011229,St. Mary's & St. James,Bexley,St. Mary's & St. James,Freeform_13864,Freeform 299
E05000318,Rainham and Wennington,Havering,Freeform_13679,"1,688.0",,,,,,,,,,,,,,,,,,,Falconwood & Welling,Freeform_13865,Freeform 13865,,,,,,,,,,,,,,,,,,,,,E05011226,Falconwood & Welling,Bexley,Falconwood & Welling,Freeform_13865,Freeform 300
E05000319,Romford Town,Havering,Freeform_13683,286.5,,,,,,,,,,,,,,,,,,,East Wickham,Freeform_13866,Freeform 13866,,,,,,,,,,,,,,,,,,,,,E05011224,East Wickham,Bexley,East Wickham,Freeform_13866,Freeform 301
E05000320,St. Andrew's,Havering,Freeform_13687,267.7,,,,,,,,,,,,,,,,,,,Crook Log,Freeform_13867,Freeform 13867,,,,,,,,,,,,,,,,,,,,,E05011223,Crook Log,Bexley,Crook Log,Freeform_13867,Freeform 302
E05000321,South Hornchurch,Havering,Freeform_13680,687.3,,,,,,,,,,,,,,,,,,,Bexleyheath,Freeform_13868,Freeform 13868,,,,,,,,,,,,,,,,,,,,,E05011219,Bexleyheath,Bexley,Bexleyheath,Freeform_13868,Freeform 303
