Date,Vehicle type,Number of bookings,Number of spaces
02/07/2023,Recycling centre A (cars / small vans),262,320
02/07/2023,Recycling centre A (medium / large vans),26,17
02/07/2023,Recycling centre A (pedestrian / bicycle),2,15
03/07/2023,Recycling centre A (cars / small vans),244,320
03/07/2023,Recycling centre A (medium / large vans),3,17
03/07/2023,Recycling centre A (pedestrian / bicycle),0,15
06/07/2023,Recycling centre A (cars / small vans),230,320
06/07/2023,Recycling centre A (medium / large vans),22,17
06/07/2023,Recycling centre A (pedestrian / bicycle),2,15
07/07/2023,Recycling centre A (cars / small vans),263,320
07/07/2023,Recycling centre A (medium / large vans),8,17
07/07/2023,Recycling centre A (pedestrian / bicycle),0,15
08/07/2023,Recycling centre A (cars / small vans),202,320
08/07/2023,Recycling centre A (medium / large vans),22,17
08/07/2023,Recycling centre A (pedestrian / bicycle),2,15
09/07/2023,Recycling centre A (cars / small vans),229,320
09/07/2023,Recycling centre A (medium / large vans),24,17
09/07/2023,Recycling centre A (pedestrian / bicycle),0,15
10/07/2023,Recycling centre A (cars / small vans),239,320
10/07/2023,Recycling centre A (medium / large vans),20,17
10/07/2023,Recycling centre A (pedestrian / bicycle),2,15
13/07/2023,Recycling centre A (cars / small vans),204,320
13/07/2023,Recycling centre A (medium / large vans),22,17
13/07/2023,Recycling centre A (pedestrian / bicycle),2,15
14/07/2023,Recycling centre A (cars / small vans),223,320
14/07/2023,Recycling centre A (medium / large vans),20,17
14/07/2023,Recycling centre A (pedestrian / bicycle),0,15
15/07/2023,Recycling centre A (cars / small vans),286,320
15/07/2023,Recycling centre A (medium / large vans),9,17
15/07/2023,Recycling centre A (pedestrian / bicycle),2,15
16/07/2023,Recycling centre A (cars / small vans),263,320
16/07/2023,Recycling centre A (medium / large vans),9,17
16/07/2023,Recycling centre A (pedestrian / bicycle),0,15
17/07/2023,Recycling centre A (cars / small vans),226,320
17/07/2023,Recycling centre A (medium / large vans),6,17
17/07/2023,Recycling centre A (pedestrian / bicycle),0,15
20/07/2023,Recycling centre A (cars / small vans),222,320
20/07/2023,Recycling centre A (medium / large vans),24,17
20/07/2023,Recycling centre A (pedestrian / bicycle),3,15
21/07/2023,Recycling centre A (cars / small vans),266,320
21/07/2023,Recycling centre A (medium / large vans),23,17
21/07/2023,Recycling centre A (pedestrian / bicycle),0,15
22/07/2023,Recycling centre A (cars / small vans),243,320
22/07/2023,Recycling centre A (medium / large vans),26,17
