Date,Group,Total booked,Total spaces
20/07/2023,Recycling centre A (medium / large van),14,15
20/07/2023,Recycling centre A (pedestrian / bicycle),3,48
21/07/2023,Recycling centre A (car / small van),166,400
21/07/2023,Recycling centre A (medium / large van),13,15
21/07/2023,Recycling centre A (pedestrian / bicycle),0,48
22/07/2023,Recycling centre A (car / small van),247,400
22/07/2023,Recycling centre A (medium / large van),15,15
22/07/2023,Recycling centre A (pedestrian / bicycle),4,48
23/07/2023,Recycling centre A (car / small van),213,400
23/07/2023,Recycling centre A (medium / large van),9,15
23/07/2023,Recycling centre A (pedestrian / bicycle),4,48
24/07/2023,Recycling centre A (car / small van),145,400
24/07/2023,Recycling centre A (medium / large van),8,15
24/07/2023,Recycling centre A (pedestrian / bicycle),0,48
27/07/2023,Recycling centre A (car / small van),237,400
27/07/2023,Recycling centre A (medium / large van),12,15
27/07/2023,Recycling centre A (pedestrian / bicycle),1,48
28/07/2023,Recycling centre A (car / small van),164,400
28/07/2023,Recycling centre A (medium / large van),12,15
28/07/2023,Recycling centre A (pedestrian / bicycle),1,48
29/07/2023,Recycling centre A (car / small van),220,400
29/07/2023,Recycling centre A (medium / large van),15,15
29/07/2023,Recycling centre A (pedestrian / bicycle),2,48
30/07/2023,Recycling centre A (car / small van),317,400
30/07/2023,Recycling centre A (medium / large van),15,15
30/07/2023,Recycling centre A (pedestrian / bicycle),1,48
31/07/2023,Recycling centre A (car / small van),142,400
31/07/2023,Recycling centre A (medium / large van),14,15
31/07/2023,Recycling centre A (pedestrian / bicycle),2,48
03/08/2023,Recycling centre A (car / small van),209,400
03/08/2023,Recycling centre A (medium / large van),14,15
03/08/2023,Recycling centre A (pedestrian / bicycle),3,48
04/08/2023,Recycling centre A (car / small van),140,400
04/08/2023,Recycling centre A (medium / large van),12,15
04/08/2023,Recycling centre A (pedestrian / bicycle),1,48
05/08/2023,Recycling centre A (car / small van),191,400
05/08/2023,Recycling centre A (medium / large van),13,15
05/08/2023,Recycling centre A (pedestrian / bicycle),0,48
06/08/2023,Recycling centre A (car / small van),218,400
06/08/2023,Recycling centre A (medium / large van),15,15
06/08/2023,Recycling centre A (pedestrian / bicycle),2,48
07/08/2023,Recycling centre A (car / small van),137,400
07/08/2023,Recycling centre A (medium / large van),15,15
07/08/2023,Recycling centre A (pedestrian / bicycle),0,48
10/08/2023,Recycling centre A (car / small van),244,400
10/08/2023,Recycling centre A (medium / large van),14,15
10/08/2023,Recycling centre A (pedestrian / bicycle),0,48
11/08/2023,Recycling centre A (car / small van),209,400
11/08/2023,Recycling centre A (medium / large van),8,15
11/08/2023,Recycling centre A (pedestrian / bicycle),1,48
